Nome_Do_Carro,ValorEuros,Marca,TipoCombustivel,Quilometragem,Cilindrada,PotenciaMotor,TipoCarro,CaixaDeVelocidades,Ano
audi a4 avant 2 5 tdi attraction,3800,audi,diesel,247000,2496,150,combi,manual,1998
renault mgane sport tourer 1 5 dci dynamique co2 champion,6290,renault,diesel,263000,1461,90,combi,manual,2012
nissan qashqai 1 5 dci 360,16490,nissan,diesel,215282,1461,110,suv,manual,2015
ford puma 1 0 ecoboost mhev stline x,25500,ford,gaz,15809,998,155,suv,manual,2021
peugeot 308 sw 1 5 bluehdi business line,14980,peugeot,diesel,139000,1499,130,combi,manual,2018
peugeot 308 sw 1 6 bluehdi access,18950,peugeot,diesel,58000,1560,120,combi,manual,2018
audi q7 3 0 tdi sport tiptronic,17750,audi,diesel,215000,2967,239,suv,automatic,2008
mercedesbenz cla 180 d amg line aut,41499,mercedes-benz,diesel,27119,1461,116,combi,automatic,2020
porsche panamera edition,65000,porsche,diesel,87000,2967,300,sedan,automatic,2015
nissan qashqai 2 1 6 dci acenta s s,12990,nissan,diesel,231258,1598,130,suv,manual,2013
audi a4 avant 2 0 tdi advance s tronic,22990,audi,diesel,139596,1968,150,combi,automatic,2017
smart fortwo 0 8cdis1clc1 450 300 450 301 450 302 450 303,2750,smart,diesel,230000,799,41,mini,automatic,2001
mercedesbenz gla 45 amg 4matic,42990,mercedes-benz,gaz,38235,1991,360,suv,automatic,2015
audi q7 3 0 tdi exclusive tiptronic,17490,audi,diesel,347346,2967,233,suv,automatic,2007
mercedesbenz e 350 d amg,34500,mercedes-benz,diesel,258000,2987,258,combi,automatic,2017
mercedesbenz b 200 cdi urban,18990,mercedes-benz,diesel,138125,2143,136,compact,manual,2014
peugeot 807 2 2 hdi pullman,5850,peugeot,diesel,217000,2179,133,minivan,manual,2003
porsche panamera s ehybrid,64000,porsche,hibride-gaz,97000,2995,416,sedan,automatic,2015
tesla model s 75d,58500,tesla,electric,48212,,332,sedan,automatic,2017
peugeot 208 1 2 puretech style,13900,peugeot,gaz,30970,1199,82,sedan,manual,2018
audi a1 sportback 1 0 tfsi,16750,audi,gaz,69511,999,95,compact,manual,2016
